frame, fps, time
328, 112.0197, 3.004643
329, 102.1346, 3.014434
330, 100.1201, 3.024422
331, 132.4854, 3.03197
332, 96.07071, 3.042379
333, 114.9822, 3.051076
334, 105.7194, 3.060535
335, 92.60117, 3.071334
336, 132.5557, 3.078878
337, 99.44312, 3.088934
338, 108.7903, 3.098126
339, 108.19, 3.107369
340, 106.9519, 3.116719
341, 108.3306, 3.125951
342, 105.7082, 3.135411
343, 98.62906, 3.14555
344, 99.27529, 3.155622
345, 127.5673, 3.163461
346, 98.55129, 3.173609
347, 110.485, 3.18266
348, 102.7116, 3.192396
349, 110.6195, 3.201436
350, 96.40413, 3.211809
351, 119.2321, 3.220196
352, 91.66743, 3.231105
353, 108.4363, 3.240327
354, 131.3715, 3.247939
355, 97.2668, 3.25822
356, 129.2157, 3.265959
357, 92.1659, 3.276809
358, 124.8907, 3.284816
359, 103.8529, 3.294445
360, 103.9933, 3.304061
361, 110.8893, 3.313079
362, 111.6944, 3.322032
363, 99.02951, 3.33213
364, 114.4034, 3.340871
365, 117.2196, 3.349402
366, 103.0609, 3.359105
367, 120.9775, 3.367371
368, 96.55305, 3.377728
369, 114.2074, 3.386484
370, 105.8986, 3.395927
371, 117.0549, 3.40447
372, 100.8573, 3.414385
373, 113.5718, 3.42319
374, 95.77627, 3.433631
375, 100.6441, 3.443567
376, 96.42271, 3.453938
377, 109.866, 3.46304
378, 114.4558, 3.471777
379, 118.5677, 3.480211
380, 111.1605, 3.489208
381, 111.2471, 3.498197
382, 103.5518, 3.507854
383, 121.124, 3.516109
384, 87.40495, 3.52755
385, 115.2206, 3.536229
386, 111.7318, 3.545179
387, 105.8761, 3.554624
388, 111.0864, 3.563626
389, 97.46589, 3.573886
390, 132.4328, 3.581437
391, 104.5916, 3.590998
392, 103.0609, 3.600701
393, 99.15717, 3.610786
394, 125.9129, 3.618728
395, 93.19665, 3.629458
396, 99.9001, 3.639468
397, 123.64, 3.647557
398, 98.19324, 3.657741
399, 114.2074, 3.666497
400, 98.32841, 3.676666
401, 137.193, 3.683955
402, 97.74216, 3.694186
403, 109.565, 3.703313
404, 107.5384, 3.712612
405, 107.1696, 3.721943
406, 110.5217, 3.730991
