frame, fps, time
317, 96.37625, 3.315415
318, 97.37099, 3.325685
319, 94.26848, 3.336293
320, 85.85165, 3.347941
321, 111.6944, 3.356894
322, 93.05788, 3.36764
323, 99.05894, 3.377735
324, 91.94557, 3.388611
325, 95.48363, 3.399084
326, 96.72115, 3.409423
327, 93.71193, 3.420094
328, 98.90218, 3.430205
329, 92.98001, 3.44096
330, 94.27737, 3.451567
331, 99.40358, 3.461627
332, 91.10787, 3.472603
333, 96.302, 3.482987
334, 99.15717, 3.493072
335, 94.1265, 3.503696
336, 102.9548, 3.513409
337, 96.01537, 3.523824
338, 93.2401, 3.534549
339, 98.78494, 3.544672
340, 92.17439, 3.555521
341, 96.03381, 3.565934
342, 84.06894, 3.577829
343, 94.67007, 3.588392
344, 97.69441, 3.598628
345, 92.26794, 3.609466
346, 89.25384, 3.62067
347, 97.90484, 3.630884
348, 88.92841, 3.642129
349, 91.29086, 3.653083
350, 99.84026, 3.663099
351, 95.38344, 3.673583
352, 93.50163, 3.684278
353, 100.6644, 3.694212
354, 91.27419, 3.705168
355, 96.47853, 3.715533
356, 97.07796, 3.725834
357, 92.31905, 3.736666
358, 89.74244, 3.747809
359, 95.84971, 3.758242
360, 97.45639, 3.768503
361, 101.9056, 3.778316
362, 94.56264, 3.788891
363, 94.66111, 3.799455
364, 102.4066, 3.80922
365, 81.78621, 3.821447
366, 118.5536, 3.829882
367, 95.57488, 3.840345
368, 95.69378, 3.850795
369, 102.2913, 3.860571
370, 93.78223, 3.871234
371, 103.0078, 3.880942
372, 94.89467, 3.89148
373, 95.9785, 3.901899
374, 102.1868, 3.911685
375, 93.86146, 3.922339
376, 96.59036, 3.932692
377, 100.3512, 3.942657
378, 95.30163, 3.95315
379, 99.93005, 3.963157
380, 97.0968, 3.973456
381, 76.91716, 3.986457
382, 134.7346, 3.993879
383, 93.8879, 4.00453
384, 99.99, 4.014531
385, 97.88567, 4.024747
386, 96.00614, 4.035163
387, 101.1327, 4.045052
388, 94.50009, 4.055634
389, 93.9938, 4.066273
390, 92.79881, 4.077049
391, 79.84032, 4.089574
392, 96.41342, 4.099946
393, 100.5834, 4.109888
394, 94.24182, 4.120499
395, 101.9056, 4.130312
396, 94.65215, 4.140877
397, 95.07511, 4.151395
