frame, fps, time
319, 92.89364, 3.658716
320, 94.03799, 3.66935
321, 83.78016, 3.681286
322, 65.50076, 3.696553
323, 104.1016, 3.706158
324, 92.14891, 3.71701
325, 80.80155, 3.729387
326, 92.39582, 3.74021
327, 86.02891, 3.751834
328, 100.1402, 3.76182
329, 83.63302, 3.773777
330, 80.38585, 3.786216
331, 95.26531, 3.796714
332, 66.73785, 3.811697
333, 108.0147, 3.820956
334, 83.03579, 3.832999
335, 77.88162, 3.845839
336, 113.0966, 3.854681
337, 65.17205, 3.870024
338, 86.25151, 3.881618
339, 100.05, 3.891613
340, 79.92327, 3.904125
341, 83.12552, 3.916155
342, 82.3113, 3.928304
343, 102.3541, 3.938074
344, 72.54262, 3.951859
345, 88.95214, 3.963101
346, 84.09721, 3.974992
347, 113.0199, 3.98384
348, 78.25951, 3.996618
349, 114.4558, 4.005355
350, 73.98639, 4.018871
351, 92.02172, 4.029738
352, 89.93614, 4.040857
353, 64.01639, 4.056478
354, 90.44862, 4.067534
355, 111.657, 4.07649
356, 77.86949, 4.089332
357, 98.31875, 4.099503
358, 81.16225, 4.111824
359, 93.31841, 4.12254
360, 94.44654, 4.133128
361, 94.67007, 4.143691
362, 83.38892, 4.155683
363, 92.24242, 4.166524
364, 95.67547, 4.176976
365, 76.65772, 4.190021
366, 97.52292, 4.200274
367, 82.7746, 4.212356
368, 116.6181, 4.220931
369, 81.12932, 4.233256
370, 77.70612, 4.246125
371, 113.135, 4.254964
372, 79.7639, 4.267501
373, 99.34433, 4.277567
374, 75.37499, 4.290834
375, 92.90227, 4.301599
376, 71.66404, 4.315553
377, 101.5847, 4.325397
378, 101.9368, 4.335207
379, 86.73779, 4.346735
380, 77.27975, 4.359675
381, 101.9472, 4.369484
382, 92.96272, 4.380241
383, 75.04128, 4.393568
384, 97.21952, 4.403853
385, 81.97393, 4.416052
386, 115.3536, 4.424721
387, 75.75758, 4.437921
388, 106.9061, 4.447275
389, 85.91065, 4.458915
390, 91.12447, 4.469889
391, 88.82572, 4.481147
392, 82.43343, 4.493279
393, 113.701, 4.502073
394, 81.65932, 4.514319
395, 89.75855, 4.52546
396, 98.6972, 4.535592
397, 65.80246, 4.550789
398, 115.6604, 4.559435
399, 85.0919, 4.571187
400, 84.65967, 4.582999
401, 84.47373, 4.594837
402, 88.30802, 4.606161
403, 84.55229, 4.617988
404, 96.87106, 4.628311
405, 87.44316, 4.639747
406, 87.32862, 4.651198
407, 78.62254, 4.663917
408, 102.5326, 4.67367
409, 64.65796, 4.689137
410, 78.27176, 4.701912
411, 100.9693, 4.711816
412, 68.67661, 4.726377
413, 79.58615, 4.738943
414, 78.59782, 4.751666
415, 105.6412, 4.761132
416, 54.50779, 4.779478
417, 143.6369, 4.786439
418, 71.20479, 4.800483
419, 111.4454, 4.809456
420, 80.21176, 4.821923
421, 89.17425, 4.833137
422, 92.82465, 4.84391
423, 87.08526, 4.855393
424, 84.38818, 4.867243
425, 97.58954, 4.877491
426, 87.03978, 4.888979
427, 78.604, 4.901701
428, 101.0407, 4.911599
429, 89.48546, 4.922774
430, 97.96238, 4.932982
431, 84.22471, 4.944855
432, 84.37395, 4.956707
433, 64.14368, 4.972297
434, 75.88405, 4.985475
435, 118.7648, 4.993895
436, 88.5975, 5.005182
